Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
X701,BIT,00E0h,"FC=02","",0,No,""
X702,BIT,00E1h,"FC=02","",0,No,""
X703,BIT,00E2h,"FC=02","",0,No,""
X704,BIT,00E3h,"FC=02","",0,No,""
X705,BIT,00E4h,"FC=02","",0,No,""
X706,BIT,00E5h,"FC=02","",0,No,""
X707,BIT,00E6h,"FC=02","",0,No,""
X708,BIT,00E7h,"FC=02","",0,No,""
X709,BIT,00E8h,"FC=02","",0,No,""
X710,BIT,00E9h,"FC=02","",0,No,""
X711,BIT,00EAh,"FC=02","",0,No,""
X712,BIT,00EBh,"FC=02","",0,No,""
X713,BIT,00ECh,"FC=02","",0,No,""
X714,BIT,00EDh,"FC=02","",0,No,""
X715,BIT,00EEh,"FC=02","",0,No,""
X716,BIT,00EFh,"FC=02","",0,No,""
X801,BIT,0100h,"FC=02","",0,No,""
X802,BIT,0101h,"FC=02","",0,No,""
X803,BIT,0102h,"FC=02","",0,No,""
X804,BIT,0103h,"FC=02","",0,No,""
X805,BIT,0104h,"FC=02","",0,No,""
X806,BIT,0105h,"FC=02","",0,No,""
X807,BIT,0106h,"FC=02","",0,No,""
X808,BIT,0107h,"FC=02","",0,No,""
X809,BIT,0108h,"FC=02","",0,No,""
X810,BIT,0109h,"FC=02","",0,No,""
X811,BIT,010Ah,"FC=02","",0,No,""
X812,BIT,010Bh,"FC=02","",0,No,""
X813,BIT,010Ch,"FC=02","",0,No,""
X814,BIT,010Dh,"FC=02","",0,No,""
X815,BIT,010Eh,"FC=02","",0,No,""
X816,BIT,010Fh,"FC=02","",0,No,""
Y001,BIT,2000h,"FC=01,05,15","",0,No,""
Y002,BIT,2001h,"FC=01,05,15","",0,No,""
Y003,BIT,2002h,"FC=01,05,15","",0,No,""
Y004,BIT,2003h,"FC=01,05,15","",0,No,""
Y005,BIT,2004h,"FC=01,05,15","",0,No,""
Y006,BIT,2005h,"FC=01,05,15","",0,No,""
Y007,BIT,2006h,"FC=01,05,15","",0,No,""
Y008,BIT,2007h,"FC=01,05,15","",0,No,""
Y009,BIT,2008h,"FC=01,05,15","",0,No,""
Y010,BIT,2009h,"FC=01,05,15","",0,No,""
Y011,BIT,200Ah,"FC=01,05,15","",0,No,""
Y012,BIT,200Bh,"FC=01,05,15","",0,No,""
Y013,BIT,200Ch,"FC=01,05,15","",0,No,""
Y014,BIT,200Dh,"FC=01,05,15","",0,No,""
Y015,BIT,200Eh,"FC=01,05,15","",0,No,""
Y016,BIT,200Fh,"FC=01,05,15","",0,No,""
Y021,BIT,2010h,"FC=01,05,15","",0,No,""
Y022,BIT,2011h,"FC=01,05,15","",0,No,""
Y023,BIT,2012h,"FC=01,05,15","",0,No,""
Y024,BIT,2013h,"FC=01,05,15","",0,No,""
Y025,BIT,2014h,"FC=01,05,15","",0,No,""
Y026,BIT,2015h,"FC=01,05,15","",0,No,""
Y027,BIT,2016h,"FC=01,05,15","",0,No,""
Y028,BIT,2017h,"FC=01,05,15","",0,No,""
Y029,BIT,2018h,"FC=01,05,15","",0,No,""
Y030,BIT,2019h,"FC=01,05,15","",0,No,""
Y031,BIT,201Ah,"FC=01,05,15","",0,No,""
